ClaimID,ScenarioID,CustomerID,ProductID,ProductCategory,Brand,ModelNumber,SerialNumber,PurchaseDate,ClaimDate,FaultDate,WarrantyDurationMonths,WarrantyExpiryDate,WarrantyStatus,WarrantyRemainingDays,ExtendedWarranty,FaultType,DamageType,FaultCovered,ClaimReportingWithinPeriod,ReceiptAvailable,WarrantyCardAvailable,ProductImageAvailable,SerialEvidenceAvailable,FaultEvidenceAvailable,RepairReportAvailable,PreviousRepair,RepairCount,RepairAuthorized,PreviousReplacement,ReplacementWithinWarranty,SerialNumberMatch,ProductModelConsistent,DuplicateClaimIndicator,DocumentDuplicateIndicator,ContradictionIndicator,RequiredDocumentsComplete,PurchaseProofAvailable,PriorClaimCount,ClaimAmount,PreviousRepairCost,OCRConfidence,ClaimSubmissionChannel,ClaimClass
CLM00220,VALID_220,CUS00220,PROD00220,Washing Machine,PrimeView,PRI-WAS-0220,SN-2026-000220,2025-10-13,2027-07-13,2027-07-08,24,2027-10-13,Active,92,Yes,Display Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,966.51,0.0,0.952,Email,Valid Claim
CLM00568,INVALID_68_EXCLUDED_DAMAGE,CUS00568,PROD00568,Printer,NovaTech,NOV-PRI-0568,SN-2026-000568,2025-02-16,2026-02-16,2026-02-11,24,2027-02-16,Active,365,No,Water Leakage,Accidental Damage,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,2506.87,0.0,0.939,Email,Invalid Claim
CLM00077,VALID_77,CUS00077,PROD00077,Television,Aster,AST-TEL-0077,SN-2026-000077,2025-04-04,2025-07-04,2025-06-26,12,2026-04-04,Active,274,No,Connectivity Issue,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,1207.31,0.0,0.921,Web,Valid Claim
CLM00015,VALID_15,CUS00015,PROD00015,Air Conditioner,PrimeView,PRI-AIR-0015,SN-2026-000015,2025-07-31,2026-01-31,2026-01-18,24,2027-07-31,Active,546,No,Battery Problem,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,786.67,564.69,0.956,Mobile App,Valid Claim
CLM00579,INVALID_79_EXPIRED_WARRANTY,CUS00579,PROD00579,Laptop,Aster,AST-LAP-0579,SN-2026-000579,2024-01-29,2025-04-29,2025-04-19,12,2025-01-29,Expired,-90,No,Power Failure,Electrical Failure,Yes,Yes,Yes,No,No,Yes,No,Yes,No,0,N/A,No,N/A,Yes,Yes,No,No,No,No,Yes,0,1343.29,0.0,0.9,Email,Invalid Claim
CLM01170,MANUAL_170_CONTRADICTION,CUS01170,PROD01170,Laptop,NovaTech,NOV-LAP-1170,SN-2026-001170,2023-04-09,2024-10-09,2024-10-07,36,2026-04-09,Active,547,No,Battery Problem,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,N/A,No,N/A,Yes,No,No,No,Yes,Yes,Yes,2,706.95,0.0,0.887,Web,Manual Review
CLM00588,INVALID_88_UNAUTHORIZED_REPAIR,CUS00588,PROD00588,Camera,HomePro,HOM-CAM-0588,SN-2026-000588,2025-04-19,2027-06-09,2027-05-18,24,2027-04-19,Active,-51,No,Battery Problem,Manufacturing Defect,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2,No,No,N/A,Yes,Yes,No,No,No,No,Yes,3,284.37,564.74,0.93,Email,Invalid Claim
CLM00849,INVALID_349_EXPIRED_WARRANTY,CUS00849,PROD00849,Television,NovaTech,NOV-TEL-0849,SN-2026-000849,2024-12-10,2027-03-10,2027-02-28,24,2026-12-10,Expired,-90,No,Display Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,2,Yes,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,1644.78,143.99,0.987,Email,Invalid Claim
CLM00672,INVALID_172_UNAUTHORIZED_REPAIR,CUS00672,PROD00672,Television,ZenCore,ZEN-TEL-0672,SN-2026-000672,2024-09-28,2025-05-08,2025-04-14,36,2027-09-28,Active,873,No,Noise,Manufacturing Defect,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2,No,No,N/A,Yes,Yes,No,No,No,No,Yes,2,286.06,1096.49,0.814,Web,Invalid Claim
CLM01045,MANUAL_45_LOW_OCR_CONFIDENCE,CUS01045,PROD01045,Printer,PrimeView,PRI-PRI-1045,SN-2026-001045,2025-04-24,2026-10-24,2026-10-17,36,2028-04-24,Active,548,No,Noise,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,115.59,0.0,0.622,Email,Manual Review
